PULocationID,TotalTrips
74,143134
75,106106
41,58524
166,49799
95,34475
42,30386
43,25454
7,25340
244,24828
82,24520
97,22106
65,21156
130,16606
129,12964
116,12331
33,11596
260,11219
134,9124
66,8574
25,7935
152,7457
24,6570
196,6013
236,5739
223,5720
181,5344
193,5313
92,5155
83,4546
61,4086
179,3967
255,3947
93,3906
226,3886
52,3772
55,3527
49,3145
243,3130
145,3096
247,3036
264,2818
80,2723
210,2569
17,2500
146,2498
256,2315
168,2212
112,2171
159,2049
69,2030
188,1783
225,1770
127,1599
189,1481
40,1468
185,1434
173,1410
37,1389
169,1203
36,1152
89,1110
263,1092
76,1059
265,1049
195,1038
216,1031
14,947
28,941
56,914
136,904
167,888
62,858
197,855
119,816
241,807
70,799
228,794
157,791
212,738
18,728
220,713
106,708
192,697
174,689
35,687
47,642
60,637
215,628
91,623
121,622
29,615
242,603
132,603
235,601
177,590
138,589
10,582
78,579
71,557
213,546
182,539
72,531
198,523
150,507
258,505
191,502
160,501
135,499
85,490
51,483
122,460
39,457
21,454
94,445
253,444
20,423
190,387
102,382
108,378
53,372
123,355
254,347
22,341
171,339
81,337
205,331
250,316
34,316
155,315
126,310
165,308
131,305
26,303
248,293
147,288
77,279
217,273
73,271
222,252
227,240
54,232
98,230
208,228
133,218
32,213
252,211
218,210
207,207
200,203
63,202
257,199
67,193
57,191
16,185
149,184
219,183
153,166
86,157
262,156
117,155
9,148
124,147
259,142
31,138
3,134
202,123
180,119
38,119
128,115
11,109
120,106
183,105
139,105
96,99
194,94
240,88
175,87
178,82
203,81
15,76
68,74
238,73
151,72
137,69
140,68
154,68
19,66
206,62
90,60
48,59
170,59
232,59
64,56
1,53
231,49
230,47
100,45
209,42
186,41
101,41
79,37
201,37
107,35
239,34
141,32
45,31
229,30
87,29
164,28
142,28
163,26
184,23
233,23
261,23
59,22
161,22
8,21
143,20
246,19
23,18
4,17
50,17
46,17
13,17
148,17
249,16
44,16
144,16
237,16
113,16
221,16
234,15
27,14
162,13
115,13
156,12
114,12
88,11
158,10
214,9
58,9
111,9
187,9
224,8
251,7
118,7
125,6
5,6
245,5
109,5
176,5
211,5
6,3
172,3
2,2
84,2
30,2
99,1
